taxon,pl,pl2,L,W,T,biovol,size_class,shape,mobile,teratology,pioneer,adte,pedunc,pad,stalk,colonial,nonColonial,mucous,filament,zigzag,rosette,ribbon,stellate,arbuscular,high_profile,low_profile,motile
Diploneis oblongella,0,0,25,8,3.725,745,4,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Diploneis oculata,0,0,31,14,3,1022.07,4,ellcyl,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Diploneis ovalis,0,0,33.5,16,3,1262,4,ellcyl,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Diploneis parma,0,0,35,17.5,3,1442.4375,4,ellcyl,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Diploneis pseudovalis,0,0,23.5,11.5,6.819611471,1843,5,omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Entomoneis alata,0,0,35,45,3,3709.125,5,ellcyl,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Epithemia adnata,0,0,82.5,10.5,4.123520924,3572,5,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Epithemia sorex,0,0,39,11,4.282051282,1837,5,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Epithemia spp. (girdle view),0,0,39,11,4.282051282,1837,5,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Epithemia turgida,0,0,122.5,24,10,17640,5,box,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Eunotia ""small bean""",0,0,20.5,4,4,328,3,box,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
Eunotia arcus,0,0,53.5,6,6,1926,5,box,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
Eunotia bilunaris,0,0,80,4,1.928125,617,4,omnidia,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
Eunotia curvata,0,0,80,4,1.928125,617,4,omnidia,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
Eunotia diodon,0,0,37.5,9.5,9.5,3384.375,5,box,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
Eunotia exigua,0,0,18,3.5,1.444444444,91,1,Omnidia,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
Eunotia faba,0,0,38,7,7,1862,5,box,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
Eunotia fallax,0,0,34,3.5,3.5,417,3,box,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
Eunotia incisa,0,0,34,5,5,850,4,box,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
Eunotia intermedia,0,0,29.5,4.5,1.943502825,258,2,Omnidia,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
Eunotia maior,0,0,29.5,4.5,1.943502825,258,2,Omnidia,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
Eunotia minor,0,0,40,6.5,2.903846154,755,4,Omnidia,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
Eunotia monodon,0,0,34,3.5,3.5,417,3,box,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
Eunotia pectinalis,0,0,75,7.5,7.5,4219,5,box,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
Eunotia pectinalis var. minor,0,0,75,7.5,7.5,4219,5,box,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
Eunotia pectinalis var. undulata,0,0,75,7.5,7.5,4218.75,5,box,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
Eunotia praerupta,0,0,55,10.5,10.5,6063.75,5,box,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
Eunotia praerupta var. bigibba,0,0,37.5,9.5,9.5,3384.375,5,box,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
Eunotia serra,0,0,34,3.5,3.5,417,3,box,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"Eunotia sp. D3465 ""tenella""",0,0,20.5,3.5,2.411149826,173,2,Omnidia,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
Eunotia spp.,0,0,34,3.5,3.5,417,3,box,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
Eunotia vanheurckii,0,0,34,3.5,3.5,417,3,box,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
Fragilaria arcus,0,1,82.5,6,2.953535354,1462,4,Omnidia,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0
Fragilaria brevistriata,0,1,20.5,4,1.914634146,157,2,Omnidia,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Fragilaria brevistriata v papillosa,0,1,20.5,4,1.914634146,157,2,Omnidia,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Fragilaria capucina var. Alpestris,0,1,19.5,7,3.230769231,441,3,Omnidia,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Fragilaria capucina var. capitellata,0,1,31,6,0.801075269,149,2,Omnidia,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Fragilaria capucina var. gracilis,1,1,30,2.5,1.226666667,92,1,Omnidia,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Fragilaria capucina var. gracilis,1,1,30,2.5,1.226666667,92,1,Omnidia,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Fragilaria capucina var. perminuta,0,1,32.5,3.5,1.5,89.29375,1,Omnidia,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
